Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,mean_time,Attrition
51,Travel_Rarely,Sales,6.0,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160.0,1,11,0,1,6,1,0,0,3.0,4.0,2.0,3,3,7.4094827586206895,No
31,Travel_Frequently,Research & Development,10.0,1,Life Sciences,2,Female,1,Research Scientist,Single,41890.0,0,23,1,6,3,5,1,4,3.0,2.0,4.0,2,4,7.745762711864407,Yes
32,Travel_Frequently,Research & Development,17.0,4,Other,3,Male,4,Sales Executive,Married,193280.0,1,15,3,5,2,5,0,3,2.0,2.0,1.0,3,3,6.983471074380165,No
38,Non-Travel,Research & Development,2.0,5,Life Sciences,4,Male,3,Human Resources,Married,83210.0,3,11,3,13,5,8,7,5,4.0,4.0,3.0,2,3,7.217021276595744,No
32,Travel_Rarely,Research & Development,10.0,1,Medical,5,Male,1,Sales Executive,Single,23420.0,4,12,2,9,2,6,0,4,4.0,1.0,3.0,3,3,8.044897959183674,No
46,Travel_Rarely,Research & Development,8.0,3,Life Sciences,6,Female,4,Research Director,Married,40710.0,3,13,0,28,5,7,7,7,3.0,2.0,2.0,3,3,10.78481012658228,No
28,Travel_Rarely,Research & Development,11.0,2,Medical,7,Male,2,Sales Executive,Single,58130.0,2,20,1,5,2,0,0,0,1.0,3.0,1.0,3,4,6.978448275862069,Yes
29,Travel_Rarely,Research & Development,18.0,3,Life Sciences,8,Male,2,Sales Executive,Married,31430.0,2,22,3,10,2,0,0,0,1.0,2.0,3.0,3,4,6.7366255144032925,No
31,Travel_Rarely,Research & Development,1.0,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440.0,0,21,0,10,2,9,7,8,2.0,4.0,3.0,3,4,7.256521739130434,No
25,Non-Travel,Research & Development,7.0,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640.0,1,13,1,6,2,6,1,5,2.0,1.0,3.0,3,3,7.128205128205129,No
45,Travel_Rarely,Research & Development,17.0,2,Medical,11,Male,2,Laboratory Technician,Married,79910.0,0,13,2,21,2,20,4,10,3.0,4.0,3.0,2,3,8.385892116182573,No
36,Travel_Rarely,Research & Development,28.0,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770.0,0,12,2,16,2,15,10,11,3.0,4.0,3.0,3,3,7.074688796680498,No
55,Travel_Rarely,Research & Development,14.0,4,Life Sciences,13,Female,1,Sales Executive,Single,55380.0,0,17,0,37,2,36,4,13,4.0,1.0,3.0,3,3,9.25764192139738,No
47,Non-Travel,Research & Development,1.0,1,Medical,14,Male,1,Research Scientist,Married,57620.0,1,11,2,10,4,10,9,9,1.0,2.0,2.0,2,3,9.434042553191489,Yes
28,Travel_Rarely,Research & Development,1.0,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920.0,1,14,0,5,2,5,0,4,4.0,4.0,2.0,3,3,6.1120331950207465,No
37,Travel_Rarely,Research & Development,1.0,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460.0,4,11,0,7,2,5,0,1,3.0,4.0,4.0,3,3,6.641350210970464,No
21,Travel_Rarely,Research & Development,3.0,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130.0,1,12,3,3,3,3,1,0,4.0,3.0,4.0,2,3,6.612334801762114,No
37,Non-Travel,Research & Development,1.0,3,Medical,18,Male,2,Sales Executive,Divorced,41270.0,2,13,1,15,2,5,0,2,1.0,4.0,3.0,3,3,10.98780487804878,No
35,Travel_Rarely,Sales,7.0,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380.0,7,16,0,10,5,7,6,2,2.0,2.0,2.0,2,3,6.931034482758621,No
38,Travel_Rarely,Research & Development,8.0,3,Life Sciences,20,Female,1,Manager,Divorced,68700.0,1,11,1,8,5,8,7,7,1.0,1.0,3.0,3,3,9.303030303030305,No
26,Travel_Frequently,Research & Development,1.0,4,Other,21,Male,2,Laboratory Technician,Divorced,104470.0,1,18,0,6,3,6,1,4,3.0,2.0,1.0,3,3,7.573275862068965,No
50,Travel_Rarely,Sales,8.0,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670.0,3,23,0,28,2,10,1,6,1.0,2.0,2.0,2,4,6.030042918454936,No
53,Travel_Rarely,Research & Development,11.0,4,Life Sciences,23,Female,2,Research Scientist,Married,21480.0,3,11,0,21,2,5,1,3,3.0,3.0,2.0,3,3,8.418103448275861,No
42,Travel_Rarely,Research & Development,4.0,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260.0,1,14,0,10,4,20,11,6,2.0,3.0,3.0,1,3,6.851239669421488,No
